Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P152_NW13,10-May,152,M,Lw,0.505,W10,,,,,,
P152_NW14,10-May,152,M,Lw,0.553,W10,,,,,,
P152_NW15,10-May,152,M,Lw,0.653,W10,,,,,,
P152_NW16,10-May,152,M,Lw,0.480,W10,,,,,,
P152_NW17,10-May,152,M,Lw,0.603,W10,,,,,,
P152_NW19,10-May,152,M,Lw,0.648,W10,,,,,,
P145_NW6,14-May,145,M,Lw,0.613,W10,,,,,,
P146_NW_F1,05-Apr,146,F,Lw,0.422,W0,0.489,0.051,43,0.008,,
P146_NW_F3,05-Apr,146,F,Lw,0.488,W0,,,,,,
P146_NW_F4,05-Apr,146,F,Lw,0.481,W0,,,,,,
P149_NW_F3,05-Apr,149,F,Lw,0.549,W0,,,,,,
P149_NW_F4,05-Apr,149,F,Lw,0.520,W0,,,,,,
P149_NW_F6,05-Apr,149,F,Lw,0.515,W0,,,,,,
P149_NW_F7,05-Apr,149,F,Lw,0.509,W0,,,,,,
P149_NW_F8,05-Apr,149,F,Lw,0.610,W0,,,,,,
P149_NW_F9,05-Apr,149,F,Lw,0.490,W0,,,,,,
P145_NW_F4,14-Apr,145,F,Lw,0.598,W0,,,,,,
P145_NW_F5,14-Apr,145,F,Lw,0.523,W0,,,,,,
P145_NW_F6,14-Apr,145,F,Lw,0.495,W0,,,,,,
P145_NW_F7,14-Apr,145,F,Lw,0.539,W0,,,,,,
P145_NW_F8,14-Apr,145,F,Lw,0.557,W0,,,,,,
P146_NW_F5,17-Apr,146,F,Lw,0.440,W0,,,,,,
P146_NW_F9,17-Apr,146,F,Lw,0.478,W0,,,,,,
P146_NW_F11,17-Apr,146,F,Lw,0.492,W0,,,,,,
P146_NW_F12,17-Apr,146,F,Lw,0.430,W0,,,,,,
P146_NW_F13,17-Apr,146,F,Lw,0.461,W0,,,,,,
P146_NW_F16,17-Apr,146,F,Lw,0.508,W0,,,,,,
P146_NW_F17,17-Apr,146,F,Lw,0.401,W0,,,,,,
P146_NW_F19,17-Apr,146,F,Lw,0.439,W0,,,,,,
P146_NW_F20,17-Apr,146,F,Lw,0.466,W0,,,,,,
