Not_Use,Generation,Order_by_Cross_Type,Off_Sex,Prop,Pair_ID,Female,Male,Mother,Father,Parental_genotype,Parental_phenotype,Mother_genotype,Cross_Type,Off_M,Off_Lw_M,Off_Sw_M,Off_F,Off_Lw_F,Off_Sw_F,Prop.Sw.M,Prop.Sw.F,Note
N,F10-F11,3,F,0,135,B4_Lw_F25,B3_Sw_F17,Lw,Sw,Xs x XLXL,Sw(M) x Lw(F),Lw_Homo,Sw(M)-Lw(F)(Homo),37,37,0,44,44,0,0,0,
N,F10-F11,4,F,0.15,10,B2_Lw_F4,B1_Sw_M1,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),39,21,18,20,17,3,0.46,0.15,
N,F10-F11,4,M,0.46,10,B2_Lw_F4,B1_Sw_M1,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),39,21,18,20,17,3,0.46,0.15,
N,F10-F11,4,F,0.41,23,B1_Lw_F4,B1_Sw_M7,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),57,24,33,51,30,21,0.58,0.41,
N,F10-F11,4,M,0.58,23,B1_Lw_F4,B1_Sw_M7,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),57,24,33,51,30,21,0.58,0.41,
N,F10-F11,4,M,0.54,34,B1_Lw_F5,B2_Sw_M20,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),13,6,7,17,8,9,0.54,0.53,
N,F10-F11,4,F,0.53,34,B1_Lw_F5,B2_Sw_M20,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),13,6,7,17,8,9,0.54,0.53,
N,F10-F11,4,M,0.42,46,B2_Lw_F9,B2_Sw_M26,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),12,7,5,10,4,6,0.42,0.6,
N,F10-F11,4,F,0.6,46,B2_Lw_F9,B2_Sw_M26,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),12,7,5,10,4,6,0.42,0.6,
N,F10-F11,4,M,0.33,67,B1_Lw_F9,B2_Sw_M22,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),43,29,14,45,22,23,0.33,0.51,
N,F10-F11,4,F,0.51,67,B1_Lw_F9,B2_Sw_M22,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),43,29,14,45,22,23,0.33,0.51,
N,F10-F11,4,M,0.48,76,B1_Lw_F14,B4_Sw_M5,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),63,33,30,36,24,12,0.48,0.33,
N,F10-F11,4,F,0.33,76,B1_Lw_F14,B4_Sw_M5,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),63,33,30,36,24,12,0.48,0.33,
